MODOPRIN,FE_VIA,CRITERIOBR
Carro,359.834622,B1
Carro,741.963657,B1
Carro,741.963657,B1
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,C2
A pe,359.834622,C2
A pe,359.834622,C2
A pe,359.834622,C2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,B2
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C1
A pe,359.834622,C1
Onibus,226.156445,C1
Onibus,226.156445,C1
Metro,208.368276,C1
Metro,208.368276,C1
Taxi,161.75882099999998,B2
Taxi,161.75882099999998,B2
Bike,234.073129,C1
Bike,234.073129,C1
A pe,112.32293,C1
A pe,112.32293,C1
Outros,1.0,B2
Onibus,175.985256,B2
Onibus,175.985256,B2
A pe,161.37528899999998,C2
A pe,161.37528899999998,C2
Taxi,161.75882099999998,C1
Taxi,161.75882099999998,C1
Outros,1.0,C1
Taxi,161.37528899999998,B1
Taxi,161.37528899999998,B1
Outros,1.0,C1
Outros,1.0,C1
Metro,279.343984,C1
Metro,279.343984,C1
Metro,161.37528899999998,B2
Metro,161.37528899999998,B2
Metro,161.37528899999998,B2
Metro,161.37528899999998,B2
Onibus,175.985256,C1
Onibus,175.985256,C1
Metro,279.343984,B2
